FILENAME STN LAT LON MONTH/DAY/YEAR JDATE VCO2_SW TEMP_PCO2 TEMP SAL PCO2_SST PCO2_SSTPA PCO2_TEQ EQ_PBARO SHIPPBARO
0001 1 -77.659 178.022 2/16/2000 47.52030 208.24 -1.15 -1.680 34.040 198.28 20.091 202.90 992.70 990.89
0001 2 -77.660 178.048 2/16/2000 47.52159 207.95 -1.16 -1.690 34.050 197.99 20.061 202.60 992.70 990.79
0001 3 -77.661 178.062 2/16/2000 47.52289 207.95 -1.15 -1.680 34.040 197.99 20.061 202.60 992.70 990.76
0001 4 -77.661 178.090 2/16/2000 47.52418 207.86 -1.16 -1.670 34.030 198.06 20.068 202.50 992.70 990.76
0001 5 -77.663 178.117 2/16/2000 47.52548 207.90 -1.16 -1.680 34.040 197.98 20.060 202.50 992.60 990.79
0001 6 -77.665 178.143 2/16/2000 47.52676 207.97 -1.15 -1.690 34.030 197.90 20.052 202.60 992.70 990.79
0001 7 -77.667 178.169 2/16/2000 47.52806 207.97 -1.15 -1.670 34.020 198.08 20.070 202.60 992.70 990.77
0001 8 -77.670 178.194 2/16/2000 47.52935 208.51 -1.23 -1.670 34.000 199.26 20.190 203.10 992.60 990.80
0001 9 -77.673 178.219 2/16/2000 47.53065 208.45 -1.22 -1.650 34.010 199.24 20.188 203.00 992.40 990.81
0001 10 -77.677 178.243 2/16/2000 47.53195 208.54 -1.20 -1.650 34.020 199.17 20.181 203.10 992.50 990.82
0001 11 -77.678 178.255 2/16/2000 47.53324 208.70 -1.19 -1.650 34.040 199.28 20.192 203.30 992.50 990.79
0001 12 -77.682 178.278 2/16/2000 47.53454 209.04 -1.19 -1.650 34.040 199.57 20.221 203.60 992.60 990.80
0001 13 -77.685 178.302 2/16/2000 47.53584 208.79 -1.15 -1.660 34.060 198.95 20.159 203.40 992.50 990.76
0001 14 -77.689 178.326 2/16/2000 47.53713 208.48 -1.16 -1.660 34.060 198.74 20.137 203.10 992.50 990.78
0001 15 -77.692 178.349 2/16/2000 47.53842 208.21 -1.20 -1.640 34.070 198.96 20.160 202.80 992.60 990.76
0001 16 -77.696 178.373 2/16/2000 47.53971 208.02 -1.15 -1.640 34.070 198.33 20.096 202.60 992.50 990.74
0001 17 -77.699 178.397 2/16/2000 47.54100 208.14 -1.14 -1.650 34.080 198.26 20.089 202.70 992.40 990.77
0001 18 -77.701 178.409 2/16/2000 47.54230 208.85 -1.15 -1.650 34.070 199.03 20.167 203.40 992.50 990.77
0001 19 -77.705 178.432 2/16/2000 47.54359 209.42 -1.11 -1.630 34.060 199.45 20.209 204.00 992.40 990.76
0001 20 -77.709 178.454 2/16/2000 47.54489 209.59 -1.03 -1.590 34.070 199.20 20.184 204.10 992.50 990.76
0001 21 -77.712 178.476 2/16/2000 47.54618 210.16 -1.05 -1.560 34.090 200.22 20.287 204.70 992.60 990.75
0001 22 -77.716 178.498 2/16/2000 47.54748 211.08 -1.03 -1.530 34.110 201.19 20.386 205.60 992.50 990.74
0001 23 -77.721 178.518 2/16/2000 47.54877 212.52 -0.99 -1.510 34.120 202.38 20.506 207.00 992.60 990.70
0001 24 -77.725 178.536 2/16/2000 47.55006 214.44 -0.98 -1.550 34.120 203.79 20.649 208.90 992.50 990.75
0001 25 -77.728 178.545 2/16/2000 47.55136 217.23 -0.98 -1.540 34.100 206.52 20.926 211.60 992.50 990.76
