exchange,stock_symbol,date,dividends
NASDAQ,CHRW,2009-12-02,0.25
NASDAQ,CHRW,2009-09-02,0.24
NASDAQ,CHRW,2009-06-03,0.24
NASDAQ,CHRW,2009-03-04,0.24
NASDAQ,CHRW,2008-12-03,0.24
NASDAQ,CHRW,2008-09-03,0.22
NASDAQ,CHRW,2008-06-04,0.22
NASDAQ,CHRW,2008-03-05,0.22
NASDAQ,CHRW,2007-12-05,0.22
NASDAQ,CHRW,2007-09-05,0.18
NASDAQ,CHRW,2007-06-06,0.18
NASDAQ,CHRW,2007-03-07,0.18
NASDAQ,CHRW,2006-12-06,0.18
NASDAQ,CHRW,2006-09-06,0.13
NASDAQ,CHRW,2006-06-07,0.13
NASDAQ,CHRW,2006-03-08,0.13
NASDAQ,CHRW,2005-12-07,0.13
NASDAQ,CHRW,2005-09-07,0.075
NASDAQ,CHRW,2005-06-08,0.075
NASDAQ,CHRW,2005-03-09,0.075
NASDAQ,CHRW,2004-12-01,0.075
NASDAQ,CHRW,2004-09-01,0.06
NASDAQ,CHRW,2004-06-02,0.06
NASDAQ,CHRW,2004-03-11,0.06
NASDAQ,CHRW,2003-12-03,0.06
NASDAQ,CHRW,2003-09-03,0.04
NASDAQ,CHRW,2003-06-04,0.04
NASDAQ,CHRW,2003-03-05,0.04
NASDAQ,CHRW,2002-12-04,0.04
NASDAQ,CHRW,2002-09-04,0.03
NASDAQ,CHRW,2002-06-05,0.03
NASDAQ,CHRW,2002-03-07,0.03
NASDAQ,CHRW,2001-12-05,0.03
NASDAQ,CHRW,2001-09-05,0.025
NASDAQ,CHRW,2001-06-08,0.025
NASDAQ,CHRW,2001-03-07,0.025
NASDAQ,CHRW,2000-12-06,0.025
NASDAQ,CHRW,2000-09-06,0.02
NASDAQ,CHRW,2000-06-08,0.02
NASDAQ,CHRW,2000-03-06,0.02
NASDAQ,CHRW,1999-12-08,0.02
NASDAQ,CHRW,1999-09-08,0.0175
NASDAQ,CHRW,1999-06-08,0.0175
NASDAQ,CHRW,1999-03-04,0.0175
NASDAQ,CHRW,1998-12-16,0.0175
NASDAQ,CHRW,1998-09-08,0.015
NASDAQ,CHRW,1998-06-08,0.015
