exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,GRT,1996-04-29,16.87,17.00,16.87,17.00,17500,3.75
NYSE,GCH,1998-02-02,10.59,10.76,10.08,10.19,190000,4.73
NYSE,GWW,2002-04-30,54.70,57.09,54.60,56.07,453200,49.10
NYSE,GGG,1991-12-02,22.75,22.75,22.62,22.62,29600,1.17
NYSE,GWW,1988-05-24,53.43,55.12,53.00,54.91,361600,9.70
NYSE,GLT,1997-04-11,14.08,14.19,13.75,14.19,16500,8.53
NYSE,GMT,2009-03-30,20.38,20.61,19.67,19.97,1448400,19.37
NYSE,GMA,2005-05-02,20.61,20.67,20.15,20.24,64100,11.89
NYSE,GJW,2009-12-10,1.62,1.62,1.59,1.59,4500,1.59
NYSE,GAJ,2001-01-25,16.81,17.69,16.81,17.50,18500,6.77
NYSE,GRA,1992-06-15,7.98,8.00,7.83,7.95,217500,4.13
NYSE,GFW,2008-10-15,13.00,14.00,12.90,13.25,6200,11.48
NYSE,GDO,2009-12-09,20.01,20.02,20.00,20.02,8000,19.89
NYSE,GYB,2007-02-08,23.76,23.92,23.75,23.87,7500,19.49
NYSE,GDI,1999-10-18,12.12,12.12,11.00,11.12,70400,5.56
NYSE,GWR,2008-02-08,26.92,27.62,26.62,27.11,156700,27.11
NYSE,GR,2002-04-05,32.16,32.49,31.88,32.15,456100,25.67
NYSE,GDF,2003-05-13,13.10,13.15,12.97,13.10,22600,6.87
NYSE,GTY,1997-03-17,20.12,20.62,20.12,20.50,24700,5.78
NYSE,GJK,2006-04-06,24.54,24.54,24.50,24.50,10000,20.61
NYSE,GHL,2009-11-24,83.41,83.91,82.52,82.88,201000,82.42
NYSE,GG,2003-05-28,11.25,11.35,11.01,11.07,2478900,10.41
NYSE,GR,1996-10-14,39.58,39.80,39.46,39.58,38600,26.47
NYSE,GE,1991-12-12,66.25,67.00,65.87,66.62,14818800,3.47
NYSE,GIB,2009-11-23,12.15,12.46,12.15,12.40,119400,12.40
NYSE,GT,1982-07-30,23.50,23.75,23.25,23.25,78000,5.79
NYSE,GGC,1993-02-22,18.52,18.52,17.82,17.93,18900,358.13
NYSE,GPW,2008-06-26,23.23,23.54,23.23,23.54,2600,21.52
NYSE,GSI,2006-01-31,1.73,1.85,1.70,1.85,101000,1.85
NYSE,GBL,2008-01-23,58.10,60.73,57.34,60.29,107100,59.95
NYSE,GBX,2007-08-22,28.40,29.18,28.22,29.06,161700,28.09
NYSE,GPC,1984-02-07,25.79,26.17,25.19,26.17,171100,1.85
NYSE,GRR,2006-06-15,15.65,17.07,15.20,17.00,90600,13.94
NYSE,GET,1999-03-25,24.27,24.52,24.21,24.52,14400,24.04
NYSE,GPS,1991-01-23,39.00,39.50,39.00,39.25,3762400,2.42
NYSE,GSK,1996-04-08,24.50,24.62,24.37,24.37,404500,15.30
NYSE,GMK,2010-01-07,7.83,8.44,7.83,8.26,67900,8.26
NYSE,GJB,2005-01-07,24.87,25.25,24.87,25.25,5600,18.42
NYSE,GJH,2006-11-02,9.72,9.72,9.72,9.72,000,7.19
NYSE,GLF,2005-08-11,26.80,28.23,26.67,28.13,136500,28.13
NYSE,GLW,2000-07-28,250.25,253.00,226.50,232.75,18800100,74.74
NYSE,GR,2004-10-26,30.45,30.85,30.21,30.75,1109400,27.83
NYSE,GBL,2001-09-24,31.43,34.90,31.43,34.78,75700,33.05
NYSE,GMT,1988-12-06,34.96,35.12,34.88,35.12,162000,3.65
NYSE,GFI,2003-04-22,11.00,11.24,10.90,11.07,2019200,10.12
NYSE,GPU,2008-04-01,25.81,25.82,25.18,25.31,13700,22.49
NYSE,GDP,1992-04-09,3.00,3.00,2.88,3.00,600,24.00
NYSE,GXP,1993-06-11,24.00,24.12,24.00,24.12,25200,8.82
NYSE,GR,1987-12-15,21.64,22.49,21.64,22.49,726000,4.47
NYSE,GDI,1999-07-23,20.25,21.75,20.00,21.12,83400,10.55
NYSE,GF,2006-07-05,12.70,12.70,12.41,12.50,31300,11.57
NYSE,GPW,2009-10-15,25.12,25.12,25.02,25.08,1800,24.72
NYSE,GJJ,2007-12-05,22.51,22.51,22.50,22.50,200,20.85
NYSE,GJX,2009-07-10,24.75,25.21,24.74,25.21,1600,24.35
NYSE,GGB,2000-01-10,28.56,29.19,28.56,29.19,51200,0.79
NYSE,GUI,2003-10-30,25.35,25.45,25.15,25.30,18900,17.82
NYSE,GAB,1990-06-28,4.35,4.35,4.30,4.30,52400,0.24
NYSE,GE,2004-05-21,30.31,30.69,30.31,30.65,21917300,24.95
NYSE,GWW,2005-06-14,54.78,55.18,54.48,55.16,585000,50.73
NYSE,GTY,2009-03-17,14.63,16.80,14.63,16.80,402100,15.35
NYSE,GFW,2003-12-26,25.22,25.28,25.10,25.28,30900,15.20
NYSE,GDP,1993-08-26,2.25,2.25,2.13,2.13,10200,17.00
NYSE,GJJ,2006-06-01,24.30,24.30,24.30,24.30,000,20.66
NYSE,GET,2003-05-02,20.70,21.52,20.51,21.52,77500,21.52
NYSE,GWF,2006-09-01,23.23,23.33,23.19,23.23,8500,18.36
NYSE,GBB,2009-02-25,38.96,38.96,38.96,38.96,000,38.96
NYSE,GIM,1996-10-08,5.28,5.46,5.28,5.37,314500,1.61
NYSE,GVA,2004-05-25,18.99,19.39,18.90,19.32,237200,17.96
NYSE,GMK,2009-01-09,2.00,2.07,2.00,2.04,13700,2.04
NYSE,GGB,2000-06-07,12.25,12.25,12.25,12.25,000,0.67
NYSE,GE,2001-12-17,37.80,38.85,37.70,38.30,26715900,29.27
NYSE,GMR,2002-09-24,8.00,8.00,7.50,7.50,37900,2.77
NYSE,GBX,2002-08-22,6.35,6.35,6.25,6.25,8600,5.85
NYSE,GXP,1990-03-02,33.25,33.63,33.13,33.50,207600,4.89
NYSE,GT,1994-01-17,47.50,49.25,47.50,49.13,792200,37.82
NYSE,GG,1999-01-15,6.25,6.25,6.25,6.25,000,2.83
NYSE,GGG,2004-02-19,42.15,42.46,41.81,41.86,131400,23.54
NYSE,GDI,2005-06-15,38.15,38.43,37.66,38.30,220000,19.13
NYSE,GGG,1997-04-23,24.37,24.50,24.12,24.37,363500,3.69
NYSE,GG,2006-07-06,30.89,31.52,30.36,31.28,5625600,30.62
NYSE,GY,1990-05-15,4.01,4.10,4.01,4.10,39600,0.14
NYSE,GR,2007-12-06,73.00,74.39,72.87,74.14,1179300,71.15
NYSE,GRT,2004-04-07,23.20,24.31,23.20,24.26,493700,12.66
NYSE,GCS,2006-09-05,16.17,16.27,16.11,16.25,60500,5.76
NYSE,GUQ,2007-06-25,23.24,23.24,23.10,23.11,700,19.79
NYSE,GPK,2009-01-26,0.98,1.05,0.96,1.04,200800,1.04
NYSE,GED,2010-01-11,23.72,23.86,23.71,23.75,40500,23.75
NYSE,GLW,1999-10-25,69.75,69.75,68.06,68.75,1191900,22.00
NYSE,GR,1996-04-29,35.14,35.47,35.14,35.25,71600,23.20
NYSE,GRA,1990-11-14,4.54,4.81,4.54,4.78,387100,1.87
NYSE,GCV,2004-08-04,10.10,10.24,10.06,10.10,3300,6.06
NYSE,GKM,2004-11-11,25.04,25.06,24.99,25.00,37700,13.82
NYSE,GAJ,2000-12-27,10.81,11.06,10.56,10.62,28100,3.97
NYSE,GEC,2003-04-24,25.82,25.99,25.78,25.81,62700,16.98
NYSE,GTC,2008-12-04,131.37,131.37,124.08,126.03,000,126.03
NYSE,GNI,1990-08-30,19.65,19.65,19.65,19.65,100,1.67
NYSE,GEF,2009-09-28,53.75,55.06,53.38,54.71,244300,54.32
NYSE,GMR,2006-11-08,34.96,35.58,34.77,35.45,376700,15.78
NYSE,GPC,1984-06-19,16.73,16.80,15.89,16.19,152600,1.77
NYSE,GSK,1991-10-22,48.88,49.38,48.63,49.13,1904600,12.91
NYSE,GHL,2006-12-14,71.26,72.70,71.17,71.92,95900,66.90
