exchange,stock_symbol,date,dividends
NYSE,AIT,2009-11-12,0.15
NYSE,AIT,2009-08-12,0.15
NYSE,AIT,2009-05-13,0.15
NYSE,AIT,2009-02-11,0.15
NYSE,AIT,2008-11-12,0.15
NYSE,AIT,2008-08-13,0.15
NYSE,AIT,2008-05-13,0.15
NYSE,AIT,2008-02-13,0.15
NYSE,AIT,2007-11-13,0.15
NYSE,AIT,2007-08-13,0.15
NYSE,AIT,2007-05-11,0.12
NYSE,AIT,2007-02-13,0.12
NYSE,AIT,2006-11-13,0.12
NYSE,AIT,2006-08-11,0.12
NYSE,AIT,2006-05-11,0.12
NYSE,AIT,2006-02-13,0.1
NYSE,AIT,2005-11-10,0.1
NYSE,AIT,2005-08-17,0.08
NYSE,AIT,2005-05-12,0.08
NYSE,AIT,2005-02-11,0.08
NYSE,AIT,2004-11-10,0.06222
NYSE,AIT,2004-08-11,0.06222
NYSE,AIT,2004-05-12,0.05333
NYSE,AIT,2004-02-11,0.05333
NYSE,AIT,2003-11-12,0.05333
NYSE,AIT,2003-08-13,0.05333
NYSE,AIT,2003-05-13,0.05333
NYSE,AIT,2003-01-29,0.05333
NYSE,AIT,2002-11-13,0.05333
NYSE,AIT,2002-08-13,0.05333
NYSE,AIT,2002-05-13,0.05333
NYSE,AIT,2002-02-12,0.05333
NYSE,AIT,2001-11-13,0.05333
NYSE,AIT,2001-08-13,0.05333
NYSE,AIT,2001-05-11,0.05333
NYSE,AIT,2001-02-12,0.05333
NYSE,AIT,2000-11-13,0.05333
NYSE,AIT,2000-08-11,0.05333
NYSE,AIT,2000-05-11,0.05333
NYSE,AIT,2000-02-10,0.05333
NYSE,AIT,1999-11-10,0.05333
NYSE,AIT,1999-08-12,0.05333
NYSE,AIT,1999-05-12,0.05333
NYSE,AIT,1999-02-10,0.05333
NYSE,AIT,1998-11-12,0.05333
NYSE,AIT,1998-08-12,0.05333
NYSE,AIT,1998-05-13,0.05333
NYSE,AIT,1998-02-11,0.05333
NYSE,AIT,1997-11-12,0.05333
NYSE,AIT,1997-08-13,0.04741
NYSE,AIT,1997-05-13,0.04741
NYSE,AIT,1997-02-12,0.04741
NYSE,AIT,1996-11-13,0.04741
NYSE,AIT,1996-08-13,0.04148
NYSE,AIT,1996-05-13,0.04148
NYSE,AIT,1996-02-13,0.04148
NYSE,AIT,1995-11-13,0.04148
NYSE,AIT,1995-08-11,0.03555
NYSE,AIT,1995-05-09,0.03555
NYSE,AIT,1995-02-09,0.03555
NYSE,AIT,1994-11-08,0.03555
NYSE,AIT,1994-08-09,0.03161
NYSE,AIT,1994-05-10,0.03161
NYSE,AIT,1994-02-09,0.03161
NYSE,AIT,1993-11-08,0.03161
NYSE,AIT,1993-08-10,0.03161
NYSE,AIT,1993-05-10,0.03161
NYSE,AIT,1993-02-08,0.03161
